States,per capita CO2 (kg per person),per capita CO (kg per person),per capita CH4 (kg per person),Population
Andhra Pradesh,974.17,27.18,16.97,84580777
Arunachal,405.9,17.43,25.82,1383727
Assam,340.91,16.63,21.29,31205576
Bihar,179.01,8.83,9.59,104099452
Chattisgarh,1963.88,17.56,22.37,25545198
Goa,2662.51,23.12,7.62,1458545
Gujarat,1310.58,24.01,12.26,60439692
Haryana,1381.86,17.9,21.57,25351462
Himachal Pradesh,784.16,16.98,18.28,6864602
Jammu & Kashmir,509.03,15.59,14.42,12541302
Jharkhand,1403.43,15.02,15.39,32988134
Karnataka,888.86,24.93,12.2,61095297
Kerala,780.12,18.29,4.52,33406061
Madhya Pradesh,656.37,16.14,15.15,72626809 
Maharashtra,936.7,23.58,9.8,112374333
Manipur,379.2,10.8,22.63,2727749
Meghalaya,691.53,12.65,19.8,2966889
Mizoram,754.71,15.4,10.72,1097206
Nagaland,1275.27,24.13,29.08,1978502
Odhisha,700.13,18.4,19.88,41974218
Punjab,1618.08,27.9,33.38,27743338
Rajasthan,793.69,14.33,14.18,68548473
Sikkim,711.39,11.68,10.04,610577
Tamilnadu ,985.7,26.6,10.4,72447030
Tripura,295.64,17.76,19.23,3673917
Uttar Pradesh,404.26,12.4,12.87,199812341
Uttarakhand,493.01,14.28,17.93,10086292
West Bengal,763.13,22.69,15.99,91276115
